time_s,sensor,measurement,innovation,innovation_sigma,nis,accepted
-0.300000,telemetrum,pressure,108.999251,877.658353,0.015424,True
-0.300000,telemetrum,acceleration,1.030000,81.215762,0.000161,True
-0.290000,telemetrum,pressure,11.562408,346.631990,0.001113,True
-0.290000,telemetrum,acceleration,-0.999384,19.778166,0.002553,True
-0.280000,telemetrum,pressure,6.120475,304.496895,0.000404,True
-0.280000,telemetrum,acceleration,-1.530733,17.285645,0.007842,True
-0.270000,telemetrum,pressure,4.143577,288.457499,0.000206,True
-0.270000,telemetrum,acceleration,-1.524104,16.383822,0.008654,True
-0.260000,telemetrum,pressure,-1.903127,280.179557,0.000046,True
-0.260000,telemetrum,acceleration,-0.082867,15.933805,0.000027,True
-0.250000,telemetrum,pressure,-1.531983,275.300728,0.000031,True
-0.250000,telemetrum,acceleration,1.486019,15.674440,0.008988,True
-0.240000,telemetrum,pressure,-1.274862,272.234434,0.000022,True
-0.240000,telemetrum,acceleration,0.155478,15.512547,0.000100,True
-0.230000,telemetrum,pressure,-1.084359,270.255192,0.000016,True
-0.230000,telemetrum,acceleration,-1.933371,15.406442,0.015748,True
-0.220000,telemetrum,pressure,-0.938144,268.976954,0.000012,True
-0.220000,telemetrum,acceleration,-1.086498,15.334665,0.005020,True
-0.210000,telemetrum,pressure,11.184044,268.169315,0.001739,True
-0.210000,telemetrum,acceleration,-0.905510,15.285068,0.003510,True
-0.200000,telemetrum,pressure,9.633980,267.682378,0.001295,True
-0.200000,telemetrum,acceleration,0.270431,15.250291,0.000314,True
-0.190000,telemetrum,pressure,8.247060,267.410673,0.000951,True
-0.190000,telemetrum,acceleration,-1.832020,15.225656,0.014478,True
-0.180000,telemetrum,pressure,6.979692,267.277957,0.000682,True
-0.180000,telemetrum,acceleration,1.031125,15.208078,0.004597,True
-0.170000,telemetrum,pressure,5.828466,267.227709,0.000476,True
-0.170000,telemetrum,acceleration,1.393869,15.195471,0.008414,True
-0.160000,telemetrum,pressure,0.776539,267.218181,0.000008,True
-0.160000,telemetrum,acceleration,-0.366816,15.186396,0.000583,True
-0.150000,telemetrum,pressure,0.343011,267.219101,0.000002,True
-0.150000,telemetrum,acceleration,1.238262,15.179846,0.006654,True
-0.140000,telemetrum,pressure,-0.034669,267.209856,0.000000,True
-0.140000,telemetrum,acceleration,-0.496745,15.175109,0.001072,True
-0.130000,telemetrum,pressure,-0.370506,267.177109,0.000002,True
-0.130000,telemetrum,acceleration,-2.492795,15.171679,0.026996,True
-0.120000,telemetrum,pressure,-0.669728,267.113329,0.000006,True
-0.120000,telemetrum,acceleration,0.977359,15.169193,0.004151,True
-0.110000,telemetrum,pressure,20.082509,267.015345,0.005657,True
-0.110000,telemetrum,acceleration,-1.747300,15.167389,0.013271,True
-0.100000,telemetrum,pressure,17.109106,266.883879,0.004110,True
-0.100000,telemetrum,acceleration,1.091487,15.166080,0.005180,True
-0.090000,telemetrum,pressure,14.396921,266.720044,0.002914,True
-0.090000,telemetrum,acceleration,-2.169761,15.165130,0.020471,True
-0.080000,telemetrum,pressure,11.916882,266.527198,0.001999,True
-0.080000,telemetrum,acceleration,1.250953,15.164439,0.006805,True
-0.070000,telemetrum,pressure,9.679319,266.309349,0.001321,True
-0.070000,telemetrum,acceleration,0.546311,15.163938,0.001298,True
-0.060000,telemetrum,pressure,-3.342653,266.070737,0.000158,True
-0.060000,telemetrum,acceleration,24.725630,15.163574,2.658836,True
-0.050000,telemetrum,pressure,-3.714896,265.815141,0.000195,True
-0.050000,telemetrum,acceleration,38.116550,15.163309,6.318867,True
-0.040000,telemetrum,pressure,-3.952261,265.546898,0.000222,True
-0.040000,telemetrum,acceleration,18.032352,15.163117,1.414255,True
-0.030000,telemetrum,pressure,-4.175574,265.269539,0.000248,True
-0.030000,telemetrum,acceleration,65.951997,15.162977,18.918511,False
-0.020000,telemetrum,pressure,-4.396079,264.986152,0.000275,True
-0.020000,telemetrum,acceleration,82.471944,15.326965,28.953437,False
-0.010000,telemetrum,pressure,70.434893,264.699375,0.070806,True
-0.010000,telemetrum,acceleration,184.672956,15.489217,142.150266,False
0.000000,telemetrum,pressure,61.826248,264.413469,0.054674,True
0.000000,telemetrum,acceleration,120.674006,15.649787,59.458044,False
0.010000,telemetrum,pressure,53.974334,264.127835,0.041759,True
0.010000,telemetrum,acceleration,59.245086,15.808725,14.044652,False
0.020000,telemetrum,pressure,46.817681,263.844087,0.031487,True
0.020000,telemetrum,acceleration,73.706186,15.966081,21.311362,False
0.030000,telemetrum,pressure,40.297863,263.563526,0.023377,True
0.030000,telemetrum,acceleration,62.867293,16.121901,15.206071,False
0.040000,telemetrum,pressure,239.360009,263.287187,0.826502,True
0.040000,telemetrum,acceleration,94.874944,16.276229,33.977818,False
0.050000,telemetrum,pressure,212.940473,263.020387,0.655447,True
0.050000,telemetrum,acceleration,48.432826,16.429106,8.690640,True
